F1-Score,Statistical Parity,Another_Info,Method,Data_Name,weighted_avg
0.641711229946524,0.0938855608345383,0.4,DisparactImpactRemover,German,1.5934829496300151
0.641711229946524,0.078392894030159,0.5,DisparactImpactRemover,German,1.614692895681391
0.6453333333333333,0.0735385250981202,0.6000000000000001,DisparactImpactRemover,German,1.623709594071199
0.641711229946524,0.078392894030159,0.7000000000000001,DisparactImpactRemover,German,1.614692895681391
0.6509186351706037,0.0599049783102665,0.8,DisparactImpactRemover,German,1.6460303100330682
0.6543535620052771,0.0541210493699648,0.9,DisparactImpactRemover,German,1.6561970852844843
0.6543535620052771,0.0541210493699648,1.0,DisparactImpactRemover,German,1.6561970852844843
0.6506666666666666,-0.0524097303336549,0.0,DisparactImpactRemover,German,1.6561266085663446
0.6542553191489362,-0.0573358387080392,0.1,DisparactImpactRemover,German,1.6517316313075194
0.6542553191489362,-0.0725712254329389,0.2,DisparactImpactRemover,German,1.6308739097423959
0.6578947368421054,-0.0465694987557767,0.3,DisparactImpactRemover,German,1.6688533365759113
0.6614173228346456,-0.0514956071301609,0.4,DisparactImpactRemover,German,1.6644151142646473
0.6666666666666666,-0.0667309938550606,0.5,DisparactImpactRemover,German,1.6469934485610451
0.6649214659685864,-0.0564217155045452,0.6000000000000001,DisparactImpactRemover,German,1.6599648198364823
0.6666666666666666,-0.0819663805799603,0.7000000000000001,DisparactImpactRemover,German,1.6261357269959218
0.6684073107049608,-0.0613478238789294,0.8,DisparactImpactRemover,German,1.6555025478510785
0.6649214659685864,-0.0564217155045452,0.9,DisparactImpactRemover,German,1.6599648198364823
0.6631853785900783,-0.0613478238789294,1.0,DisparactImpactRemover,German,1.6520844348400092
0.6380697050938338,-0.0968808097500516,0.0,DisparactImpactRemover,German,1.5869987320838324
0.6380697050938338,-0.0968808097500516,0.1,DisparactImpactRemover,German,1.5869987320838324
0.6307277628032345,-0.0871720718859739,0.2,DisparactImpactRemover,German,1.5954844930840197
0.6174863387978142,-0.1248708944432968,0.3,DisparactImpactRemover,German,1.5352062034346654
0.6136986301369862,-0.120016525511258,0.4,DisparactImpactRemover,German,1.5393726712177935
0.6174863387978142,-0.1093782276389175,0.5,DisparactImpactRemover,German,1.5564161494860413
0.627027027027027,-0.1597810369758314,0.6000000000000001,DisparactImpactRemover,German,1.493658160333212
0.6233062330623307,-0.1549266680437925,0.7000000000000001,DisparactImpactRemover,German,1.4978684283780916
0.6287262872628726,-0.1549266680437925,0.8,DisparactImpactRemover,German,1.5014162258936459
0.6233062330623307,-0.1549266680437925,0.9,DisparactImpactRemover,German,1.4978684283780916
0.6158038147138964,-0.1452179301797149,1.0,DisparactImpactRemover,German,1.506249146783089
0.715736040609137,-0.0941252144082333,0.0,DisparactImpactRemover,German,1.641609176143793
0.7142857142857142,-0.0846912521440823,0.1,DisparactImpactRemover,German,1.6535752278028943
0.7124681933842238,-0.0733276157804458,0.2,DisparactImpactRemover,German,1.6679427096811557
0.7222222222222221,-0.0874785591766723,0.3,DisparactImpactRemover,German,1.65495430640217
0.7124681933842238,-0.0733276157804458,0.4,DisparactImpactRemover,German,1.6679427096811557
0.7091836734693877,-0.0686106346483704,0.5,DisparactImpactRemover,German,1.6722504608373931
0.710997442455243,-0.0960548885077187,0.6000000000000001,DisparactImpactRemover,German,1.635865654111681
0.7113402061855671,-0.0819039451114923,0.7000000000000001,DisparactImpactRemover,German,1.6554631011868304
0.7244897959183675,-0.1007718696397942,0.8,DisparactImpactRemover,German,1.6382396306950273
0.7142857142857142,-0.1007718696397942,0.9,DisparactImpactRemover,German,1.6315603588417642
0.7197943444730078,-0.0866209262435677,1.0,DisparactImpactRemover,German,1.6545392201064413
0.7093333333333334,-0.0605905006418484,0.0,DisparactImpactRemover,German,1.6833282381190915
0.7093333333333334,-0.0605905006418484,0.1,DisparactImpactRemover,German,1.6833282381190915
0.7024128686327078,-0.0508344030808729,0.2,DisparactImpactRemover,German,1.6921547220410753
0.6885245901639344,-0.0783055198973042,0.3,DisparactImpactRemover,German,1.6454550712128024
0.6904109589041096,-0.0888318356867779,0.4,DisparactImpactRemover,German,1.6322789730598515
0.6885245901639344,-0.0783055198973042,0.5,DisparactImpactRemover,German,1.6454550712128024
0.6902173913043479,-0.0572528883183569,0.6000000000000001,DisparactImpactRemover,German,1.675384837709418
0.6902173913043479,-0.0572528883183569,0.7000000000000001,DisparactImpactRemover,German,1.675384837709418
0.6831955922865013,-0.0482670089858793,0.8,DisparactImpactRemover,German,1.683090538488678
0.6795580110497238,-0.0433889602053915,0.9,DisparactImpactRemover,German,1.6873876934299643
0.6759002770083101,-0.0385109114249037,1.0,DisparactImpactRemover,German,1.6916716569772945
0.6631578947368422,0.1490135981792709,0.0,DisparactImpactRemover,Compas,1.5320492542555144
0.6631578947368422,0.1490135981792709,0.1,DisparactImpactRemover,Compas,1.5320492542555144
0.6631578947368422,0.1490135981792709,0.2,DisparactImpactRemover,Compas,1.5320492542555144
0.663943990665111,0.1426441714276785,0.3,DisparactImpactRemover,Compas,1.5412837526988026
0.663943990665111,0.1426441714276785,0.4,DisparactImpactRemover,Compas,1.5412837526988026
0.663943990665111,0.1426441714276785,0.5,DisparactImpactRemover,Compas,1.5412837526988026
0.663943990665111,0.1426441714276785,0.6000000000000001,DisparactImpactRemover,Compas,1.5412837526988026
0.663943990665111,0.1426441714276785,0.7000000000000001,DisparactImpactRemover,Compas,1.5412837526988026
0.6615925058548009,0.1377382024988151,0.8,DisparactImpactRemover,Compas,1.546460969588477
0.6615925058548009,0.1377382024988151,0.9,DisparactImpactRemover,Compas,1.546460969588477
0.6615925058548009,0.1377382024988151,1.0,DisparactImpactRemover,Compas,1.546460969588477
0.6470926885434657,0.1886063819260354,0.0,DisparactImpactRemover,Compas,1.4673297131521235
0.6470926885434657,0.1886063819260354,0.1,DisparactImpactRemover,Compas,1.4673297131521235
0.6424032351242056,0.183700412997172,0.2,DisparactImpactRemover,Compas,1.4709765691052878
0.6424032351242056,0.183700412997172,0.3,DisparactImpactRemover,Compas,1.4709765691052878
0.6427745664739886,0.1828827515090281,0.4,DisparactImpactRemover,Compas,1.4723390351471308
0.6427745664739886,0.1828827515090281,0.5,DisparactImpactRemover,Compas,1.4723390351471308
0.6427745664739886,0.1828827515090281,0.6000000000000001,DisparactImpactRemover,Compas,1.4723390351471308
0.6412037037037038,0.1812474285327402,0.7000000000000001,DisparactImpactRemover,Compas,1.4735496060066642
0.6412037037037038,0.1812474285327402,0.8,DisparactImpactRemover,Compas,1.4735496060066642
0.6407879490150636,0.1796121055564525,0.9,DisparactImpactRemover,Compas,1.4755162743941237
0.640742890307603,0.1771591210920207,1.0,DisparactImpactRemover,Compas,1.4788449929310625
0.6378439079169006,0.1937728084478608,0.0,DisparactImpactRemover,Compas,1.4542027516712817
0.6378439079169006,0.1937728084478608,0.1,DisparactImpactRemover,Compas,1.4542027516712817
0.6378439079169006,0.1937728084478608,0.2,DisparactImpactRemover,Compas,1.4542027516712817
0.6349206349206349,0.1797810389005358,0.3,DisparactImpactRemover,Compas,1.4714444395387067
0.6349206349206349,0.1797810389005358,0.4,DisparactImpactRemover,Compas,1.4714444395387067
0.6395089285714285,0.1764772109635841,0.5,DisparactImpactRemover,Compas,1.4789708365953558
0.6395089285714285,0.1764772109635841,0.6000000000000001,DisparactImpactRemover,Compas,1.4789708365953558
0.6395089285714285,0.1764772109635841,0.7000000000000001,DisparactImpactRemover,Compas,1.4789708365953558
0.6366197183098591,0.162485441416259,0.8,DisparactImpactRemover,Compas,1.496234820860761
0.6366197183098591,0.162485441416259,0.9,DisparactImpactRemover,Compas,1.496234820860761
0.6366197183098591,0.162485441416259,1.0,DisparactImpactRemover,Compas,1.496234820860761
0.6336633663366337,0.1739858659046841,0.0,DisparactImpactRemover,Compas,1.478555244272893
0.6336633663366337,0.1739858659046841,0.1,DisparactImpactRemover,Compas,1.478555244272893
0.6348837209302326,0.1694126951729768,0.2,DisparactImpactRemover,Compas,1.4856148640748557
0.6348837209302326,0.1694126951729768,0.3,DisparactImpactRemover,Compas,1.4856148640748557
0.6348837209302326,0.1694126951729768,0.4,DisparactImpactRemover,Compas,1.4856148640748557
0.6344586728754366,0.1677390550056128,0.5,DisparactImpactRemover,Compas,1.4876279067508476
0.6344586728754366,0.1677390550056128,0.6000000000000001,DisparactImpactRemover,Compas,1.4876279067508476
0.6344586728754366,0.1677390550056128,0.7000000000000001,DisparactImpactRemover,Compas,1.4876279067508476
0.6344586728754366,0.1677390550056128,0.8,DisparactImpactRemover,Compas,1.4876279067508476
0.6324387397899651,0.1643917746708848,0.9,DisparactImpactRemover,Compas,1.4908882535026136
0.6324387397899651,0.1643917746708848,1.0,DisparactImpactRemover,Compas,1.4908882535026136
0.6435185185185185,0.1670734094616639,0.0,DisparactImpactRemover,Compas,1.4944694872029423
0.6435185185185185,0.1670734094616639,0.1,DisparactImpactRemover,Compas,1.4944694872029423
0.643437862950058,0.1621794453507341,0.2,DisparactImpactRemover,Compas,1.501116682733089
0.643437862950058,0.1621794453507341,0.3,DisparactImpactRemover,Compas,1.501116682733089
0.643437862950058,0.1621794453507341,0.4,DisparactImpactRemover,Compas,1.501116682733089
